NS;Matricule Operateur;Heur Passage;Temps Test;Presence Connecteur;Presence Blandage;Presence C2;Presence C24;INPUT CURRENT (NO TRIGER);INPUT TENSION (NO TRIGER);Apple Mode 3A VBUS  (0A/CC1);Apple Mode 3A D+  (0A/CC1);Apple Mode 3A D-  (0A/CC1);TYPE C VBUS (0A/CC1);TYPE C CC1 (0A/CC1);TYPE C VBUS (3A/CC1);PDO2 VBUS (0A/CC1);PDO2 VBUS (3A/CC1);PDO3 VBUS (0A/CC1);PDO3 VBUS (3A/CC1);PDO4 VBUS (0A/CC1);PDO4 VBUS (3A/CC1);PPS 8.5V VBUS (0A/CC1);PPS 8.5V VBUS (3A/CC1);PPS 20V VBUS (3A/CC1);Apple Mode 3A VBUS  (0A/CC2);Apple Mode 3A D+  (0A/CC2);Apple Mode 3A D-  (0A/CC2);TYPE C VBUS (0A/CC2);TYPE C CC2 (0A/CC2);TYPE C VBUS (3A/CC2);PDO2 VBUS (0A/CC2);PDO2 VBUS (3A/CC2);PDO3 VBUS (0A/CC2);PDO3 VBUS (3A/CC2);PDO4 VBUS (0A/CC2);PDO4 VBUS (3A/CC2);PPS 8.5V VBUS (0A/CC2);PPS 8.5V VBUS (3A/CC2);PPS 20V VBUS (3A/CC2);INPUT CURRENT (FULL LOAD);INPUT TENSION (FULL LOAD);Status Carte;
3073400591-00-W29-L2- 25 07G074-0002439;669;08:05:38;33,4;OK;OK;OK;OK;0,000;24,052;5,103;2,676;3,262;4,967;1,650;4,957;8,978;9,013;14,966;14,995;19,938;19,973;8,484;8,684;19,853;5,108;2,676;3,257;4,972;1,650;5,063;8,984;9,013;14,966;14,990;19,938;19,978;8,479;8,684;19,978;2,626;23,934;OK
3073400591-00-W05-L3- 25 02G005-0001441;669;08:05:46;1,0;FAIL;NON TESTE;NON TESTE;NON TESTE;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;NOK
;669;08:05:01;2,2;NON TESTE;NON TESTE;NON TESTE;NON TESTE;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;NOK
3073400591-00-W11-L1- 25 02G149-0002884;669;08:05:17;3,9;OK;OK;OK;OK;0,000;24,058;0,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;NOK
3073400591-00-W39-L2- 25 09G100-0000227;669;08:05:26;1,2;OK;OK;FAIL;NON TESTE;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;NOK
3073400591-00-W21-L2- 25 06G011-0000153;669;08:05:37;1,2;OK;OK;OK;FAIL;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;NOK
;669;08:05:49;2,2;NON TESTE;NON TESTE;NON TESTE;NON TESTE;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;-1,000;NOK
3073400591-00-W20-L2- 26 06G025-0001296;669;08:05:56;34,5;OK;OK;OK;OK;0,000;24,058;5,113;2,687;3,284;4,972;1,677;4,973;8,962;9,008;14,955;14,990;19,932;19,973;8,468;8,668;19,848;5,119;2,687;3,273;4,972;1,677;5,068;8,967;9,008;14,949;14,984;19,927;19,967;8,468;8,673;19,973;2,610;23,934;OK
3073400591-00-W20-L2- 26 06G025-0001286;669;08:05:25;33,2;OK;OK;OK;OK;0,000;24,058;5,108;2,654;3,284;4,978;1,677;4,968;8,967;9,002;14,955;14,990;19,938;19,978;8,463;8,668;19,859;5,113;2,682;3,273;4,972;1,683;5,063;8,962;8,997;14,955;14,984;19,932;19,967;8,468;8,668;19,978;2,615;23,934;OK
3073400591-00-W20-L2- 26 06G025-0000702;669;08:05:21;33,9;OK;OK;OK;OK;0,002;24,052;5,108;2,692;3,289;4,972;1,710;4,973;8,978;9,024;14,987;15,028;19,981;20,027;8,479;8,679;19,902;5,113;2,682;3,279;4,978;1,710;5,073;8,978;9,013;14,982;15,022;19,976;20,022;8,479;8,679;20,032;2,634;23,933;OK
